Order Details,
BTGDate,Serial_No.,Exchange,Product Code,Buy_Sell,H/S,Trade_Price,Lots,Value,Open_Close,Commission,Account Code,Contract Size,
1/6/2017,00787621,CZCE,OI709,Sell,Spec,6044.000,13,785720.00,open,35.75,99918808,10,
1/6/2017,00787622,CZCE,OI801,Buy,Spec,6224.000,13,809120.00,open,35.75,99918808,10,
1/6/2017,00798856,CZCE,OI801,Buy,Spec,6222.000,3,186660.00,open,8.25,99918808,10,
1/6/2017,00798861,CZCE,OI709,Sell,Spec,6042.000,3,181260.00,open,8.25,99918808,10,
1/6/2017,00799411,CZCE,OI709,Sell,Spec,6044.000,1,60440.00,open,2.75,99918808,10,
1/6/2017,00799412,CZCE,OI801,Buy,Spec,6224.000,1,62240.00,open,2.75,99918808,10,
1/6/2017,00800307,CZCE,OI709,Sell,Spec,6044.000,1,60440.00,open,2.75,99918808,10,
1/6/2017,00800308,CZCE,OI801,Buy,Spec,6224.000,1,62240.00,open,2.75,99918808,10,
1/6/2017,00803886,CZCE,OI709,Sell,Spec,6046.000,1,60460.00,open,2.75,99918808,10,
1/6/2017,00803887,CZCE,OI801,Buy,Spec,6226.000,1,62260.00,open,2.75,99918808,10,
1/6/2017,00805178,CZCE,OI709,Sell,Spec,6042.000,1,60420.00,open,2.75,99918808,10,
1/6/2017,00805179,CZCE,OI801,Buy,Spec,6222.000,1,62220.00,open,2.75,99918808,10,
1/6/2017,00805625,CZCE,OI709,Sell,Spec,6042.000,1,60420.00,open,2.75,99918808,10,
1/6/2017,00805625,CZCE,OI709,Sell,Spec,6042.000,3,181260.00,open,8.25,99918808,10,
1/6/2017,00805626,CZCE,OI801,Buy,Spec,6222.000,3,186660.00,open,8.25,99918808,10,
1/6/2017,00805628,CZCE,OI801,Buy,Spec,6222.000,1,62220.00,open,2.75,99918808,10,
1/6/2017,00814665,CZCE,OI801,Buy,Spec,6216.000,3,186480.00,open,8.25,99918808,10,
1/6/2017,00814665,CZCE,OI801,Buy,Spec,6216.000,4,248640.00,open,11.00,99918808,10,
1/6/2017,00814665,CZCE,OI801,Buy,Spec,6216.000,1,62160.00,open,2.75,99918808,10,
1/6/2017,00814674,CZCE,OI709,Sell,Spec,6036.000,4,241440.00,open,11.00,99918808,10,
1/6/2017,00814676,CZCE,OI709,Sell,Spec,6036.000,1,60360.00,open,2.75,99918808,10,
1/6/2017,00814680,CZCE,OI709,Sell,Spec,6036.000,3,181080.00,open,8.25,99918808,10,
1/6/2017,00815032,CZCE,OI801,Buy,Spec,6218.000,5,310900.00,open,13.75,99918808,10,
1/6/2017,00815039,CZCE,OI709,Sell,Spec,6038.000,5,301900.00,open,13.75,99918808,10,
1/6/2017,00815154,CZCE,OI801,Buy,Spec,6218.000,9,559620.00,open,24.75,99918808,10,
1/6/2017,00815154,CZCE,OI801,Buy,Spec,6218.000,15,932700.00,open,41.25,99918808,10,
1/6/2017,00815160,CZCE,OI709,Sell,Spec,6038.000,9,543420.00,open,24.75,99918808,10,
1/6/2017,00815166,CZCE,OI709,Sell,Spec,6038.000,15,905700.00,open,41.25,99918808,10,
1/6/2017,00815326,CZCE,OI801,Buy,Spec,6218.000,1,62180.00,open,2.75,99918808,10,
1/6/2017,00815329,CZCE,OI709,Sell,Spec,6038.000,1,60380.00,open,2.75,99918808,10,
1/6/2017,00815898,CZCE,OI801,Buy,Spec,6218.000,1,62180.00,open,2.75,99918808,10,
1/6/2017,00815901,CZCE,OI709,Sell,Spec,6038.000,1,60380.00,open,2.75,99918808,10,
1/6/2017,00818201,CZCE,OI709,Sell,Spec,6042.000,5,302100.00,open,13.75,99918808,10,
1/6/2017,00818202,CZCE,OI801,Buy,Spec,6222.000,5,311100.00,open,13.75,99918808,10,
1/6/2017,00818780,CZCE,OI709,Sell,Spec,6042.000,5,302100.00,open,13.75,99918808,10,
1/6/2017,00818781,CZCE,OI801,Buy,Spec,6222.000,5,311100.00,open,13.75,99918808,10,
1/6/2017,00819921,CZCE,OI709,Sell,Spec,6042.000,3,181260.00,open,8.25,99918808,10,
1/6/2017,00819922,CZCE,OI801,Buy,Spec,6222.000,3,186660.00,open,8.25,99918808,10,
1/6/2017,00819929,CZCE,OI709,Sell,Spec,6042.000,1,60420.00,open,2.75,99918808,10,
1/6/2017,00819930,CZCE,OI801,Buy,Spec,6222.000,1,62220.00,open,2.75,99918808,10,
1/6/2017,00819933,CZCE,OI709,Sell,Spec,6042.000,2,120840.00,open,5.50,99918808,10,
1/6/2017,00819934,CZCE,OI801,Buy,Spec,6222.000,2,124440.00,open,5.50,99918808,10,
1/6/2017,00819937,CZCE,OI709,Sell,Spec,6042.000,1,60420.00,open,2.75,99918808,10,
1/6/2017,00819938,CZCE,OI801,Buy,Spec,6222.000,1,62220.00,open,2.75,99918808,10,
1/6/2017,00819941,CZCE,OI709,Sell,Spec,6042.000,2,120840.00,open,5.50,99918808,10,
1/6/2017,00819942,CZCE,OI801,Buy,Spec,6222.000,2,124440.00,open,5.50,99918808,10,
1/6/2017,00820685,CZCE,OI801,Buy,Spec,6218.000,1,62180.00,open,2.75,99918808,10,
1/6/2017,00820688,CZCE,OI709,Sell,Spec,6038.000,1,60380.00,open,2.75,99918808,10,
1/6/2017,00825098,CZCE,OI709,Sell,Spec,6042.000,1,60420.00,open,2.75,99918808,10,
1/6/2017,00825099,CZCE,OI801,Buy,Spec,6222.000,1,62220.00,open,2.75,99918808,10,
1/6/2017,00825356,CZCE,OI709,Sell,Spec,6042.000,2,120840.00,open,5.50,99918808,10,
1/6/2017,00825357,CZCE,OI801,Buy,Spec,6222.000,2,124440.00,open,5.50,99918808,10,
1/6/2017,00825376,CZCE,OI709,Sell,Spec,6042.000,1,60420.00,open,2.75,99918808,10,
1/6/2017,00825377,CZCE,OI801,Buy,Spec,6222.000,1,62220.00,open,2.75,99918808,10,
1/6/2017,00825504,CZCE,OI709,Sell,Spec,6042.000,1,60420.00,open,2.75,99918808,10,
1/6/2017,00825505,CZCE,OI801,Buy,Spec,6222.000,1,62220.00,open,2.75,99918808,10,
1/6/2017,00825628,CZCE,OI709,Sell,Spec,6042.000,12,725040.00,open,33.00,99918808,10,
1/6/2017,00825629,CZCE,OI801,Buy,Spec,6222.000,12,746640.00,open,33.00,99918808,10,
1/6/2017,01539462,CZCE,OI709,Sell,Spec,6028.000,100,6028000.00,open,275.00,99918808,10,
1/6/2017,01539463,CZCE,OI801,Buy,Spec,6208.000,100,6208000.00,open,275.00,99918808,10,
1/6/2017,10237486,DCE,m1709,Sell,Spec,2622.000,20,524400.00,open,34.89,99918808,10,
1/6/2017,10237487,DCE,m1709,Sell,Spec,2622.000,24,629280.00,open,41.87,99918808,10,
1/6/2017,10237488,DCE,m1709,Sell,Spec,2622.000,1,26220.00,open,1.74,99918808,10,
1/6/2017,10237489,DCE,m1709,Sell,Spec,2622.000,20,524400.00,open,34.89,99918808,10,
1/6/2017,10237490,DCE,m1709,Sell,Spec,2622.000,1,26220.00,open,1.74,99918808,10,
1/6/2017,10237491,DCE,m1709,Sell,Spec,2622.000,20,524400.00,open,34.89,99918808,10,
1/6/2017,10237492,DCE,m1709,Sell,Spec,2622.000,2,52440.00,open,3.49,99918808,10,
1/6/2017,10237493,DCE,m1709,Sell,Spec,2622.000,1,26220.00,open,1.74,99918808,10,
1/6/2017,10237494,DCE,m1709,Sell,Spec,2622.000,2,52440.00,open,3.49,99918808,10,
1/6/2017,10237495,DCE,m1709,Sell,Spec,2622.000,3,78660.00,open,5.23,99918808,10,
1/6/2017,10237496,DCE,m1709,Sell,Spec,2622.000,3,78660.00,open,5.23,99918808,10,
1/6/2017,10237497,DCE,m1709,Sell,Spec,2622.000,1,26220.00,open,1.74,99918808,10,
1/6/2017,10237498,DCE,m1709,Sell,Spec,2622.000,1,26220.00,open,1.74,99918808,10,
1/6/2017,10237499,DCE,m1709,Sell,Spec,2622.000,1,26220.00,open,1.74,99918808,10,
1/6/2017,10237946,DCE,p1709,Buy,Spec,5286.000,50,2643000.00,open,137.50,99918808,10,
1/6/2017,10549130,DCE,y1709,Sell,Spec,5662.000,8,452960.00,open,22.00,99918808,10,
1/6/2017,10549131,DCE,p1709,Buy,Spec,5222.000,8,417760.00,open,22.00,99918808,10,
1/6/2017,10549132,DCE,y1709,Sell,Spec,5662.000,2,113240.00,open,5.50,99918808,10,
1/6/2017,10549133,DCE,p1709,Buy,Spec,5222.000,2,104440.00,open,5.50,99918808,10,
1/6/2017,10549134,DCE,y1709,Sell,Spec,5662.000,2,113240.00,open,5.50,99918808,10,
1/6/2017,10549135,DCE,p1709,Buy,Spec,5222.000,2,104440.00,open,5.50,99918808,10,
1/6/2017,10549146,DCE,y1709,Sell,Spec,5662.000,2,113240.00,open,5.50,99918808,10,
1/6/2017,10549147,DCE,y1709,Sell,Spec,5662.000,1,56620.00,open,2.75,99918808,10,
1/6/2017,10549148,DCE,y1709,Sell,Spec,5662.000,1,56620.00,open,2.75,99918808,10,
1/6/2017,10549149,DCE,y1709,Sell,Spec,5662.000,15,849300.00,open,41.25,99918808,10,
1/6/2017,10549150,DCE,y1709,Sell,Spec,5662.000,5,283100.00,open,13.75,99918808,10,
1/6/2017,10549151,DCE,p1709,Buy,Spec,5222.000,24,1253280.00,open,66.00,99918808,10,
1/6/2017,10549152,DCE,y1709,Sell,Spec,5662.000,1,56620.00,open,2.75,99918808,10,
1/6/2017,10549153,DCE,p1709,Buy,Spec,5222.000,1,52220.00,open,2.75,99918808,10,
1/6/2017,10549176,DCE,y1709,Sell,Spec,5662.000,7,396340.00,open,19.25,99918808,10,
1/6/2017,10549177,DCE,y1709,Sell,Spec,5662.000,6,339720.00,open,16.50,99918808,10,
1/6/2017,10549178,DCE,p1709,Buy,Spec,5222.000,13,678860.00,open,35.75,99918808,10,
Sum_,N/A,N/A,N/A,N/A,N/A,N/A,650,35204160.00,close,1686.92,N/A,10,
